intersection_id,district,signal_type,active_flag
INT-1001,Downtown,4-way,Y
int-1002,Midtown,Pedestrian,Y
INT-1003,Downtown,4-way,N
INT-1004,Uptown,unknown,Y
INT-1005,Downtown,Roundabout,Y
int-1005,Downtown,Roundabout,Y
INT-1006,Midtown,4-way,N
INT-1007,Eastside,unknown,Y
INT-1008,Uptown,Pedestrian,N
INT-1009,Westside,4-way,N
INT-1010,Downtown,stop-sign,Y
INT-1011,Midtown,4-way,Y
int-1012,Eastside,Roundabout,N
INT-1013,Westside,unknown,unknown
INT-1014,Uptown,Pedestrian,Y
INT-1015,unknown,4-way,Y
INT-1016,Downtown,4-way,Y
INT-1017,Eastside,stop-sign,N
